"","level","basef_U","basef_C","ols_U","ols_C","wlss_U","wlss_C","wlsv_U","wlsv_C","shrink_U","shrink_C"
"1","total",12210,12210,13706,12210,17333,12210,17369,12210,18466,12210
"2","group",3539,3539,3531,3685,2941,3193,2870,2596,2740,2329
"3","network",604,604,756,780,605,651,533,492,583,545
"4","language",3498,3498,3878,3665,4787,3910,4797,3518,5243,3674
"5","language.group",949,949,1314,1346,974,1039,934,873,878,774
"6","language.network",256,256,380,390,293,312,257,242,282,266
"7","access",4778,4778,5372,5570,5406,5851,5078,4313,6344,5557
"8","access.group",801,801,1062,1103,867,947,809,737,911,842
"9","access.network",172,172,252,253,168,176,131,124,143,135
"10","access.language",1546,1546,1683,1685,1496,1633,1426,1228,1739,1538
"11","access.language.group",223,223,467,468,301,316,256,238,280,262
"12","access.language.network",59,59,139,138,88,91,64,61,70,67
